Gene,Index
ZNF214,791
ZNF215,792
ZFAND5,793
ZNF217,794
ZNF223,795
ZNF224,796
ZNF225,797
ZNF226,798
CACNA1E,799
ZNF227,800
ZNF112,801
ZNF232,802
ZNF236,803
SLC30A1,804
CACNA1F,805
SLC30A3,806
SLC30A4,807
ZP2,808
MAP3K12,809
CACNA1S,810
ZYX,811
LUZP1,812
PRDM2,813
DDR1,814
DNALI1,815
PTP4A1,816
LRP8,817
LAPTM5,818
CACNA2D1,819
CSDE1,820
EVI5,821
DAP3,822
CACNB1,823
NPHS2,824
CACNB2,825
BTG2,826
PXDN,827
CACNB3,828
ALMS1,829
MOGS,830
RNF103,831
TUBA1A,832
PAX8,833
CACNB4,834
IL1R2,835
MALL,836
CXCR4,837
FZD5,838
SCG2,839
CACNG1,840
BRPF1,841
IFRD2,842
MAPKAPK3,843
SEMA3B,844
MANF,845
USP7,846
RAB7A,847
SLC25A20,848
KCNAB1,849
SLBP,850
DUSP26,851
CRELD1,852
MRPL57,853
COLEC11,854
OTUB2,855
PCYOX1L,856
YIPF2,857
PRR14,858
CYREN,859
GDAP1L1,860
RHPN1-AS1,861
LRFN4,862
CAD,863
AUNIP,864
VKORC1,865
MIS12,866
CUEDC2,867
SCNM1,868
METRN,869
DBNDD1,870
DDX50,871
CAMKV,872
LINC01260,873
DDA1,874
GGCT,875
GID4,876
CENPM,877
TMEM106C,878
NUP37,879
SMIM2,880
FNDC11,881
AHNAK,882
SPATA5L1,883
ST8SIA4,884
ERI3,885
C7orf26,886
NABP2,887
KXD1,888
ZFYVE21,889
DDX54,890
TSEN34,891
KCTD15,892
SECISBP2,893
REEP5,894
NOC4L,895
ALG8,896
TRPM8,897
PRRG4,898
PRRG3,899
ASPSCR1,900
TMEM223,901
ATG9A,902
METTL16,903
FTO,904
POGLUT2,905
ELOVL6,906
FASTKD3,907
TMEM109,908
C2orf49,909
DSCC1,910
DCTPP1,911
C1orf50,912
CCDC86,913
MLPH,914
WDR77,915
SLC25A23,916
SMIM7,917
ALG12,918
ZNF426,919
TMUB2,920
TRAPPC6A,921
METTL22,922
CARD14,923
CHAC1,924
C9orf16,925
C11orf49,926
TRIM48,927
C1orf116,928
TAF1D,929
MAPKAP1,930
DEK,931
DHX58,932
NDUFAF5,933
TMEM185B,934
APOO,935
RETREG2,936
DERL1,937
CCDC28B,938
MBOAT7,939
PPDPF,940
CHCHD7,941
FKRP,942
MMP28,943
ZSCAN5A,944
ALDH5A1,945
FA2H,946
GDPD3,947
DHRS11,948
TNIP2,949
PLEKHF1,950
MFSD11,951
