TF,Target
ETS1,MYNN
ETS1,TPST1
ETS1,SLC25A37
ETS1,DYNLL1
ETS1,PRAME
ETS1,CLU
ETS1,GDI2
ETS1,CEBPD
ETS1,SHARPIN
ETS1,C1RL
ETS1,SCARB1
ETS1,DMXL2
ETS1,DOLPP1
ETS1,HEATR3
ETS1,MRPL22
ETS1,TJP1
ETS1,HSP90B1
ETS1,PER1
ETS1,AKR1B10
ETS1,PRKAG2
ETS1,CYB5B
ETS1,CGRRF1
ETS1,ATF1
ETS1,PFDN5
ETS1,DCLRE1A
ETS1,PFN2
ETS1,KAT6B
ETS1,STX8
ETS1,SLC25A14
ETS1,VPS13A
ETS1,HSD17B11
ETS1,ZBTB20
ETS1,PIGH
ETS1,EIF4G3
ETS1,RFK
ETS1,GALE
ETS1,FBXL5
ETS1,CTSF
ETS1,EP400
ETS1,MINPP1
ETS1,ENDOG
ETS1,DECR1
ETS1,ARHGAP12
ETS1,UCK2
ETS1,HSPA1A
ETS1,ACACA
ETS1,DUSP1
ETS1,TP53
ETS1,RXRA
ETS1,TUBA1A
ETS1,ADK
ETS1,TNS3
ETS1,ALDOA
ETS1,ITGBL1
ETS1,UBR5
ETS1,ARHGAP26
ETS1,VPS51
ETS1,TSKU
ETS1,BNIP3L
ETS1,NDUFA8
ETS1,POMT1
ETS1,CIT
ETS1,TMEM231
ETS1,SPA17
ETS1,GCH1
ETS1,TRIAP1
ETS1,PGM1
ETS1,CAPN7
ETS1,UBE2H
ETS1,TMEM135
ETS1,PPAT
ETS1,POLR2G
ETS1,PRR3
ETS1,ABCC3
ETS1,EXTL2
ETS1,GCLM
ETS1,CKLF
ETS1,ME1
ETS1,INPPL1
ETS1,VDAC3
ETS1,NADK
ETS1,ELF5
ETS1,SYT17
ETS1,GNS
ETS1,ARHGEF17
ETS1,VDAC1
ETS1,NBEAL2
ETS1,RAB4A
ETS1,AKR1C3
ETS1,RPS4Y1
ETS1,CARHSP1
ETS1,SHOC2
ETS1,MAP2K3
ETS1,STK19
ETS1,TMEM134
ETS1,TRIT1
ETS1,BBS10
ETS1,SNRNP25
ETS1,NFIB
ETS1,GUK1
ETS1,FOXC1
ETS1,ATF7IP2
ETS1,CDK2AP1
ETS1,COX17
ETS1,POLD2
ETS1,LSM1
ETS1,ZNF143
ETS1,RGS10
ETS1,AAMDC
ETS1,DCK
ETS1,PAICS
ETS1,BRD3
ETS1,CYC1
ETS1,COX7B
ETS1,RPL26L1
ETS1,NHLRC2
ETS1,ERCC8
ETS1,DNAJC22
ETS1,SPG21
ETS1,MPDU1
ETS1,TMED3
ETS1,MTCH2
ETS1,DDB2
ETS1,NAE1
ETS1,FAU
ETS1,LTBP3
ETS1,RPL10
ETS1,ELOVL1
ETS1,CDKN1C
ETS1,PPP3CB
ETS1,TXNRD2
ETS1,METTL22
ETS1,MAD2L1
ETS1,EZH2
ETS1,B4GALT4
ETS1,LACTB2
ETS1,GLI1
ETS1,GPBP1L1
ETS1,SEPHS1
ETS1,PRKDC
ETS1,CDKN2C
ETS1,KAT2B
ETS1,MRPL49
ETS1,FKBP9
ETS1,ETF1
ETS1,ZBED8
ETS1,IRX5
ETS1,RCN2
ETS1,ZNF7
ETS1,BSCL2
ETS1,ATG2A
ETS1,S100P
ETS1,NCAPG2
ETS1,DHRS7B
ETS1,MRPS34
ETS1,ZER1
ETS1,B9D1
ETS1,TMF1
ETS1,CKS2
ETS1,HMBS
ETS1,BMPR1B
ETS1,MOCS2
ETS1,ATP6V0E2
ETS1,KDM5B
ETS1,OGG1
ETS1,MNS1
ETS1,ERBB3
ETS1,APH1B
ETS1,PCDH9
ETS1,CCNL1
ETS1,KDELR2
ETS1,IDUA
ETS1,FTH1
ETS1,IFT46
ETS1,RPH3AL
ETS1,RER1
ETS1,PPP1R14B
ETS1,MYL6
ETS1,NDUFB8
ETS1,PRPF39
ETS1,RFC5
ETS1,MED7
ETS1,ELP5
ETS1,ARHGEF28
ETS1,DNAAF2
ETS1,GDE1
ETS1,NEIL3
ETS1,SFPQ
ETS1,PEMT
ETS1,ALDH2
ETS1,SLC25A24
ETS1,GALNS
ETS1,PGD
ETS1,PJA2
ETS1,RGL2
ETS1,AGO1
ETS1,FGA
ETS1,HSPBAP1
ETS1,ZNF783
ETS1,RASA1
ETS1,CD14
ETS1,PMPCA
ETS1,NQO1
ETS1,POLR2A
ETS1,PDHB
ETS1,DHCR7
ETS1,ABCC4
ETS1,TRPC1
ETS1,CCP110
ETS1,PITPNM1
ETS1,ERLIN1
ETS1,RRS1
ETS1,RNF130
ETS1,CHD1L
ETS1,SRP54
ETS1,MXI1
ETS1,REV3L
ETS1,ARL4D
ETS1,TRIM23
ETS1,LDHB
ETS1,HDAC3
ETS1,CDK9
ETS1,SIVA1
ETS1,SPDL1
ETS1,SLC39A4
ETS1,VDAC2
ETS1,BIN3
ETS1,CPT1A
ETS1,FCHSD2
ETS1,NDUFB5
ETS1,FAM111A
ETS1,RPS17
ETS1,NSMAF
ETS1,CDC7
ETS1,CDC20
ETS1,RUFY1
ETS1,PHKA2
ETS1,USP1
ETS1,GLDC
ETS1,ORAI3
ETS1,GGA2
ETS1,SLC19A1
ETS1,SLC25A20
ETS1,PMM1
ETS1,ATP7B
ETS1,AQP5
ETS1,AKR1C1
ETS1,PIAS3
ETS1,C9orf116
ETS1,RAD54B
ETS1,F8
ETS1,CKAP5
ETS1,CHSY1
ETS1,MIR22HG
ETS1,DPH5
ETS1,NPR3
ETS1,KIF1C
ETS1,B4GALT1
ETS1,RWDD2A
ETS1,DCAF11
ETS1,NME3
ETS1,STX1A
ETS1,NQO2
ETS1,KAT8
ETS1,AKR1C2
