TF,Target
ZNF440,BCL2L13
ZNF440,ATP12A
ZNF440,FAM8A1
ZNF701,RABGGTB
ZNF701,PGK1
ZNF701,GATA6
ZNF701,MAD2L1BP
ZNF701,MAFB
ZNF701,SNX19
ZNF701,POLE3
ZNF701,MYNN
ZNF701,CD53
ZNF701,ATP6V0B
ZNF701,PCDH9
ZNF701,SPRY2
ZNF701,LMO2
ZNF701,CD164
ZNF701,ABHD2
ZNF701,NEAT1
ZNF701,EPB41L2
ZNF701,FGGY
ZNF701,IVNS1ABP
ZNF701,ATF3
ZNF701,ZNF14
ZNF701,VCAN
ZNF701,KLF5
ZNF701,BRINP3
ZNF701,TBXAS1
ZNF701,TMEM187
ZNF701,COL16A1
ZNF701,CLIP2
ZNF701,SAMSN1
ZNF701,MMP16
ZNF701,MMP3
ZNF701,RDX
ZNF701,ENO2
ZNF701,FRAT2
ZNF701,HOXD9
ZNF331,BRS3
ZNF331,MC1R
ZNF331,LHX3
ZNF331,STIP1
ZNF331,SNCAIP
ZNF331,UCP1
ZNF331,CELSR1
ZNF331,SNAPC4
ZNF331,ASCC2
ZNF331,TMEM161A
ZNF331,MEGF6
ZNF331,PPBPP2
ZNF331,HTATSF1
ZNF331,P2RX2
ZNF331,CSNK1G2
ZNF331,BTBD2
ZNF212,PAXBP1
ZNF343,TRIB1
ZNF343,CXCR4
ZNF343,PDE8A
ZNF343,SOCS2
ZNF343,TWSG1
ZNF343,MYO1D
ZNF343,SLC1A5
ZNF343,HOXB9
ZNF343,CHST15
ZNF343,FAH
ZNF343,AAMDC
ZNF343,APBB2
ZNF343,ID3
ZNF343,MAP4K4
ZNF343,LUC7L3
ZNF343,NFATC2IP
ZNF343,SEMA3C
ZNF343,HIRIP3
ZNF343,ARFGEF1
ZNF343,HUNK
ZNF343,ARPP19
ZNF343,RPL10
ZNF343,HLX
ZNF343,PTMS
ZNF343,PSMA6
ZNF343,IDI1
ZNF343,RBM6
ZNF343,SNRPD3
ZNF343,NUDT3
ZNF343,DAP
ZNF343,CORO1C
ZNF343,CCNE2
ZNF343,HPRT1
ZNF343,NFATC4
ZNF343,ZGPAT
ZNF343,TPD52L2
ZNF343,TCP11L1
ZNF343,NFATC3
ZNF343,RPAP2
ZNF343,PBX3
ZNF343,PLK1
ZNF343,CHD1L
ZNF343,SMAD6
ZNF343,KLF5
ZNF343,PIP4K2C
ZNF343,DPYSL2
ZNF343,SHOX2
ZNF343,LAMP3
ZNF343,ZFYVE16
ZNF343,HMGCS1
ZNF343,POLM
ZNF343,MCCC1
ZNF343,ARRB2
ZNF343,PANK3
ZNF343,GPR137B
ZNF343,SQLE
ZNF343,DCLRE1C
ZNF343,VEZF1
ZNF343,PCK2
ZNF343,TLL2
ZNF343,RSF1
ZNF343,ITGA3
ZNF343,GSE1
ZNF343,ADAMTS2
ZNF343,HES1
ZNF343,UBAP2L
ZNF343,TCIRG1
ZNF343,FBXL6
ZNF343,SETDB1
ZNF343,NFE2L1
ZNF343,TOB1
ZNF343,SERF2
ZNF343,NR4A2
ZNF343,TNK2
ZNF343,RHOC
ZNF343,CEP57
ZNF343,ASCC2
ZNF343,RASA1
ZNF343,RBX1
ZNF343,OLFML2B
ZNF343,BCL2L11
ZNF343,RTN2
ZNF343,RDX
ZNF343,GBX2
ZNF343,USP36
ZNF343,RIOK2
ZNF343,CCNB1
ZNF343,RAB5B
ZNF343,AKAP13
ZNF343,ANKRD46
ZNF343,PAF1
ZNF343,CAV2
ZNF343,NF2
ZNF343,ALDOA
ZNF343,EPB41L2
ZNF343,ALCAM
ZNF343,NBEAL2
ZNF343,EPAS1
ZNF343,CHEK1
ZNF343,TPRA1
ZNF343,DYRK2
ZNF343,DBT
ZNF343,P3H3
ZNF343,FBXO7
ZNF343,POLDIP3
ZNF343,SART1
ZNF343,TFDP2
ZNF343,ZFAND3
ZNF343,YAP1
ZNF343,GPHN
ZNF343,VKORC1
ZNF343,SLC18A3
ZNF343,GFER
ZNF343,CREB1
ZNF343,TJP2
ZNF343,CPNE1
