TF,Target
CTCF,FADD
CTCF,AZIN1
CTCF,SRPX2
CTCF,NPRL2
CTCF,HSPB11
CTCF,COL5A3
CTCF,MAPT
CTCF,RHPN1-AS1
CTCF,EXOSC8
CTCF,CIT
CTCF,COMMD3
CTCF,AGPAT2
CTCF,CEP57
CTCF,ASTE1
CTCF,ZNF335
CTCF,C21orf62
CTCF,DR1
CTCF,NCKAP1L
CTCF,HTR2A
CTCF,ZC3H3
CTCF,PIGT
CTCF,ZC4H2
CTCF,YTHDF1
CTCF,POFUT2
CTCF,ANO1
CTCF,PHC2
CTCF,SORBS3
CTCF,KAZN
CTCF,COASY
CTCF,GID8
CTCF,HOXA11
CTCF,OBSCN
CTCF,BUB1
CTCF,DNASE1L1
CTCF,ATF3
CTCF,SH2B2
CTCF,SBNO2
CTCF,PPP2R5C
CTCF,DVL1
CTCF,ENC1
CTCF,FBXO9
CTCF,CHST15
CTCF,HNRNPL
CTCF,SLC29A2
CTCF,EFNA1
CTCF,CXCL3
CTCF,R3HDM4
CTCF,CEP170
CTCF,FST
CTCF,KCNAB2
CTCF,THYN1
CTCF,CLCF1
CTCF,HEXB
CTCF,CYP1A2
CTCF,PRDX2
CTCF,ENPP4
CTCF,SAMD4A
CTCF,MSL2
CTCF,ANAPC5
CTCF,CRK
CTCF,SPIN1
CTCF,OVOL2
CTCF,LCP1
CTCF,PRG3
CTCF,PHF8
CTCF,IRAK1
CTCF,TGFB2
CTCF,MAMLD1
CTCF,WBP1L
CTCF,ARID3B
CTCF,G0S2
CTCF,ALDH3B1
CTCF,TOMM34
CTCF,R3HCC1
CTCF,IL1RAPL2
CTCF,CCNE2
CTCF,ISG15
CTCF,STOML1
CTCF,APPL2
CTCF,MEGF6
CTCF,VAMP4
CTCF,ZC3H14
CTCF,SLC50A1
CTCF,GNB1L
CTCF,PPP1CB
CTCF,CTBP1
CTCF,RRBP1
CTCF,TIPIN
CTCF,DGKD
CTCF,MED9
CTCF,TMEM120B
CTCF,PPDPF
CTCF,LAMTOR2
CTCF,DPP3
CTCF,ACAN
CTCF,BMI1
CTCF,ASL
CTCF,ZDHHC18
CTCF,EEF1D
CTCF,HOXB13
CTCF,NR1H2
CTCF,LHX6
CTCF,LRRC17
CTCF,DIO3
CTCF,RWDD3
CTCF,GSDMD
CTCF,FBXL6
CTCF,UBL5
CTCF,SLC52A2
CTCF,ZNF354A
CTCF,CLDN8
CTCF,RHOD
CTCF,PCOLCE
CTCF,FOXC1
CTCF,NAT1
CTCF,ELK3
CTCF,MYLK
CTCF,IRF2BP1
CTCF,TAZ
CTCF,GNG5
CTCF,FBXO3
CTCF,GPC1
CTCF,TTC9
CTCF,TFR2
CTCF,F3
CTCF,SPP2
CTCF,CCND3
CTCF,PBRM1
CTCF,NR2F6
CTCF,CBX2
CTCF,CDC37
CTCF,C1orf35
CTCF,CHST7
CTCF,DOCK4
CTCF,RSAD1
CTCF,ALG6
CTCF,GATA6
CTCF,CYFIP2
CTCF,CDH17
CTCF,ZNF91
CTCF,ACOX3
CTCF,GRP
CTCF,DEPTOR
CTCF,TMCO3
HIF1A,BCL7C
HIF1A,ZC3H12A
HIF1A,CLK3
HIF1A,TSPAN2
HIF1A,DNAJB4
HIF1A,PTPRU
HIF1A,GSPT1
HIF1A,CTCF
HIF1A,MAN2C1
HIF1A,ASPHD1
HIF1A,PAFAH1B1
HIF1A,CACYBP
HIF1A,TRAF5
HIF1A,DUT
HIF1A,STMN1
HIF1A,ASIC2
HIF1A,RMDN3
HIF1A,ORC1
HIF1A,MAPKBP1
HIF1A,HSD11B2
HIF1A,FLCN
HIF1A,GPR161
HIF1A,UBTF
HIF1A,TMEM51
HIF1A,UBB
HIF1A,MIA3
HIF1A,ANKRD11
HIF1A,NCOR1
HIF1A,ZNF500
HIF1A,UBE2G1
HIF1A,IFT140
HIF1A,B2M
HIF1A,GDE1
HIF1A,CDKN2C
HIF1A,CAMSAP2
HIF1A,PLXNA2
HIF1A,SH3GL3
HIF1A,CRABP2
HIF1A,LGALS8
HIF1A,HLX
HIF1A,OVGP1
HIF1A,SUCO
HIF1A,NBL1
HIF1A,TUBGCP5
HIF1A,B9D1
HIF1A,SHC1
HIF1A,VPS9D1
HIF1A,UNKL
HIF1A,GSE1
HIF1A,CCT3
HIF1A,CKS1B
HIF1A,RPL11
HIF1A,FAM222B
HIF1A,POLDIP2
HIF1A,SLC7A6
HIF1A,ZNHIT6
HIF1A,PGM1
HIF1A,ROR1
HIF1A,CEP350
HIF1A,GCHFR
HIF1A,KIF1C
HIF1A,GALNT2
HIF1A,LYPLA2
HIF1A,PSMC3IP
HIF1A,CR2
HIF1A,AHCYL1
HIF1A,PI4KB
HIF1A,MED18
HIF1A,ACOT7
HIF1A,NPHP4
HIF1A,EPN2
HIF1A,ARL2BP
HIF1A,CLN6
HIF1A,IDH3A
HIF1A,ZNF770
HIF1A,HAGH
HIF1A,BTG2
HIF1A,KLHL11
HIF1A,IARS2
HIF1A,RNF40
HIF1A,JUN
HIF1A,NPTN
HIF1A,NUP88
HIF1A,KATNBL1
HIF1A,SF3B3
HIF1A,MSL1
HIF1A,CARHSP1
HIF1A,PAQR4
HIF1A,MEIS2
HIF1A,AIDA
HIF1A,QSOX1
HIF1A,GABRB3
HIF1A,SEZ6L2
HIF1A,ACBD3
HIF1A,CLEC16A
HIF1A,PMM2
HIF1A,PPP1R12B
HIF1A,TRMT1L
HIF1A,MEAF6
HIF1A,UQCRC2
HIF1A,E4F1
HIF1A,UBFD1
HIF1A,NOL9
HIF1A,NTNG1
HIF1A,ARHGAP44
HIF1A,GABARAPL2
HIF1A,ADAT1
HIF1A,CPEB1
HIF1A,PPP4C
HIF1A,ABL2
HIF1A,CLIC4
HIF1A,TSC2
HIF1A,NF1
HIF1A,NUP93
HIF1A,PSMB2
HIF1A,SNX7
HIF1A,CLUAP1
HIF1A,RAB4A
HIF1A,PLEKHO1
HIF1A,CBFB
HIF1A,C1orf56
HIF1A,DPYD
HIF1A,CDIP1
HIF1A,NFASC
HIF1A,AKAP10
HIF1A,CRB1
HIF1A,BNIP2
HIF1A,KCTD5
HIF1A,KCNH1
HIF1A,PRPF8
HIF1A,PIGQ
HIF1A,GBAP1
HIF1A,ZMYM1
HIF1A,LRIG2
HIF1A,MRPS14
HIF1A,NFATC3
HIF1A,SETD6
HIF1A,SPG11
HIF1A,PRCC
HIF1A,DEDD
HIF1A,SEMA6D
HIF1A,PKN2
HIF1A,RASAL2
HIF1A,PAQR5
HIF1A,MTMR11
HIF1A,MEF2D
HIF1A,SETDB1
HIF1A,CIB2
HIF1A,RRNAD1
HIF1A,PIEZO1
HIF1A,APOBR
HIF1A,RPAP1
HIF1A,PIGC
HIF1A,PARN
HIF1A,THBS3
HIF1A,SNX27
HIF1A,NIT1
HIF1A,YOD1
HIF1A,FOXF1
HIF1A,TSR1
HIF1A,TUBG2
HIF1A,GNAI3
HIF1A,SNX1
HIF1A,HHIPL2
HIF1A,ESRRG
HIF1A,IFI16
HIF1A,JUP
HIF1A,BUB1B
HIF1A,ULK2
HIF1A,CSNK1G1
HIF1A,RNF19B
HIF1A,RPAP2
HIF1A,NUDT21
HIF1A,TTLL7
HIF1A,WDR78
HIF1A,PTPN14
HIF1A,RERE
HIF1A,ECM1
HIF1A,PPOX
HIF1A,RUNDC3A
HIF1A,LUC7L
HIF1A,ZFYVE21
HIF1A,EVI2A
HIF1A,TTBK2
HIF1A,ZNF205
HIF1A,VWA1
HIF1A,STUB1
HIF1A,CLDN6
HIF1A,CYB5R1
HIF1A,EIF1
HIF1A,GUK1
HIF1A,TADA2A
HIF1A,CNIH4
HIF1A,DCAF8
HIF1A,ZC3H11A
HIF1A,NUBP2
HIF1A,EMC6
HIF1A,MPC2
HIF1A,BTBD1
HIF1A,RSRP1
HIF1A,MEF2A
HIF1A,TBC1D2B
HIF1A,FLOT2
HIF1A,NES
HIF1A,KDM4A
HIF1A,SEPHS2
HIF1A,YTHDF2
HIF1A,HMG20A
HIF1A,G0S2
HIF1A,YRDC
HIF1A,DCAKD
HIF1A,GNG5
HIF1A,HSPB11
HIF1A,SZRD1
HIF1A,FZD2
HIF1A,PIP5K1A
HIF1A,ZZZ3
HIF1A,BRF1
HIF1A,KDM5B
HIF1A,SENP3
HIF1A,FAH
HIF1A,DDAH1
HIF1A,SPATA2L
HIF1A,RCC1
HIF1A,PEAK1
HIF1A,SORD
HIF1A,ASAP3
HIF1A,TGFB2
HIF1A,ZNF263
HIF1A,PTP4A2
HIF1A,CDC42SE1
HIF1A,STIL
HIF1A,ALDH3A2
HIF1A,LAMC1
HIF1A,NUCKS1
HIF1A,MLX
HIF1A,PINK1
HIF1A,SETD1A
HIF1A,SLC39A1
HIF1A,HSPG2
HIF1A,EXTL2
HIF1A,MAPK6
HIF1A,BCL10
HIF1A,KLF13
HIF1A,CTF1
HIF1A,WRAP53
HIF1A,TP53
HIF1A,MT2A
HIF1A,KIF14
HIF1A,F11R
HIF1A,TNFRSF12A
HIF1A,RBM15
HIF1A,S100A10
HIF1A,ZNF668
HIF1A,USP3
HIF1A,PFN1
HIF1A,PHC2
HIF1A,C15orf39
HIF1A,SLC30A1
HIF1A,CDA
HIF1A,TLE3
HIF1A,CDK18
HIF1A,APH1B
HIF1A,ZNF276
HIF1A,USP48
HIF1A,ZNF200
HIF1A,BAG5
HIF1A,LYRM1
HIF1A,RNF220
HIF1A,DDOST
HIF1A,ERAL1
HIF1A,THAP11
HIF1A,ELP5
HIF1A,ZSCAN32
HIF1A,SSX2IP
HIF1A,KLC1
HIF1A,SLC50A1
HIF1A,MEGF6
HIF1A,IGF1R
HIF1A,LMNA
HIF1A,ACD
HIF1A,ACP6
HIF1A,CCNF
HIF1A,ENO1
HIF1A,IKBKE
HIF1A,NDE1
HIF1A,SRP9
HIF1A,GRN
HIF1A,BCL11B
HIF1A,RLF
HIF1A,JMJD4
HIF1A,ATP1B1
HIF1A,COA7
HIF1A,PPCS
HIF1A,DECR2
HIF1A,EPHB2
HIF1A,NOP10
HIF1A,IMP3
HIF1A,RPS2
HIF1A,SLC25A11
HIF1A,CD46
HIF1A,AKIRIN1
HIF1A,ITGAE
HIF1A,STOML1
HIF1A,B4GALT2
HIF1A,S100A12
HIF1A,SH3D21
HIF1A,MECR
HIF1A,C1orf35
HIF1A,ZNF281
HIF1A,MYO5C
HIF1A,ATP13A2
HIF1A,TRMT61A
HIF1A,KIF2C
HIF1A,TRAF4
HIF1A,MPZL1
HIF1A,PLSCR3
HIF1A,CRK
HIF1A,C1orf159
HIF1A,IL32
HIF1A,PRKCZ
HIF1A,UROD
HIF1A,DUSP3
HIF1A,SNAP23
HIF1A,FHOD1
HIF1A,ARID3B
HIF1A,INTS3
HIF1A,DNAH3
HIF1A,SDF4
HIF1A,ZDHHC18
HIF1A,HSBP1
HIF1A,MT1X
HIF1A,TRAPPC3
HIF1A,MYO1C
HIF1A,ABR
HIF1A,PER1
HIF1A,SH2D2A
HIF1A,RHOC
HIF1A,CERS2
HIF1A,KLHL21
HIF1A,LAMB3
