TF,Target
HIF1A,RARA
HIF1A,COASY
HIF1A,CHRNA3
HIF1A,PTPN22
HIF1A,DPH5
HIF1A,MUC1
HIF1A,MFAP2
HIF1A,OTUD3
HIF1A,DNAJC8
HIF1A,MYO1C
HIF1A,NME4
HIF1A,TRAPPC3
HIF1A,MECR
HIF1A,S100A12
HIF1A,B4GALT2
HIF1A,STOML1
HIF1A,ITGAE
HIF1A,AKIRIN1
HIF1A,CD46
HIF1A,SLC25A11
HIF1A,RPS2
HIF1A,IMP3
HIF1A,SH3D21
HIF1A,NOP10
HIF1A,DECR2
HIF1A,PPCS
HIF1A,COA7
HIF1A,ATP1B1
HIF1A,JMJD4
HIF1A,RLF
HIF1A,BCL11B
HIF1A,GRN
HIF1A,SRP9
HIF1A,EPHB2
HIF1A,C1orf35
HIF1A,IL32
HIF1A,ZNF281
HIF1A,ZDHHC18
HIF1A,SDF4
HIF1A,DNAH3
HIF1A,INTS3
HIF1A,ARID3B
HIF1A,FHOD1
HIF1A,SNAP23
HIF1A,DUSP3
HIF1A,UROD
HIF1A,HSBP1
HIF1A,PRKCZ
HIF1A,C1orf159
HIF1A,CRK
HIF1A,PLSCR3
HIF1A,MPZL1
HIF1A,TRAF4
HIF1A,KIF2C
HIF1A,TRMT61A
HIF1A,ATP13A2
HIF1A,MYO5C
HIF1A,GUK1
HIF1A,MT1X
HIF1A,CYB5R1
HIF1A,CBFB
HIF1A,AHCYL1
HIF1A,CR2
HIF1A,PSMC3IP
HIF1A,LYPLA2
HIF1A,GALNT2
HIF1A,KIF1C
HIF1A,GCHFR
HIF1A,CEP350
HIF1A,MED18
HIF1A,ROR1
HIF1A,ZNHIT6
HIF1A,SLC7A6
HIF1A,POLDIP2
HIF1A,FAM222B
HIF1A,RPL11
HIF1A,WDTC1
HIF1A,RAB29
HIF1A,ACBD3
HIF1A,HHLA3
HIF1A,ADPRM
HIF1A,SLC25A44
HIF1A,METTL16
HIF1A,ERI3
HIF1A,BLM
HIF1A,PRC1
HIF1A,NAA60
HIF1A,METTL18
HIF1A,NOL3
HIF1A,AAGAB
HIF1A,RABGAP1L
HIF1A,TTC4
HIF1A,NIPA2
HIF1A,FTO
HIF1A,RPS15A
HIF1A,VRK1
HIF1A,HMGCL
HIF1A,DHDDS
HIF1A,PACS2
HIF1A,EPS15
HIF1A,NSL1
HIF1A,NDUFAF1
HIF1A,AK2
HIF1A,ITGB3BP
HIF1A,COG2
HIF1A,RBL2
HIF1A,TMEM59
HIF1A,DNTTIP2
HIF1A,CHRNB2
HIF1A,LYRM9
HIF1A,POMGNT1
HIF1A,AGO3
HIF1A,WDR3
HIF1A,AKAP13
HIF1A,TAF15
HIF1A,YIPF1
HIF1A,ALG6
HIF1A,TEFM
HIF1A,ZNF593
HIF1A,SFPQ
HIF1A,CIAPIN1
HIF1A,AKR1A1
HIF1A,CTH
HIF1A,TNFAIP1
HIF1A,BCL2A1
HIF1A,TSNAX
HIF1A,IST1
HIF1A,SDHC
HIF1A,ABCD3
HIF1A,ATF7IP2
HIF1A,MVD
HIF1A,TBCE
HIF1A,COX5A
HIF1A,SNHG3
HIF1A,RPS8
HIF1A,MUL1
HIF1A,OAZ2
HIF1A,PSMA5
HIF1A,AKR7A2
HIF1A,EIF2D
HIF1A,RRP15
HIF1A,TXNIP
HIF1A,NENF
HIF1A,TIPIN
HIF1A,VAMP4
HIF1A,RWDD3
HIF1A,CCR7
HIF1A,EPHX1
HIF1A,PIK3R3
HIF1A,UAP1
HIF1A,CEP85
HIF1A,SERF2
HIF1A,ZNF764
HIF1A,FANCI
HIF1A,PPIH
HIF1A,CAP1
HIF1A,ZNF629
HIF1A,RPH3AL
HIF1A,AUNIP
HIF1A,SCYL3
HIF1A,DPP8
HIF1A,GEMIN4
HIF1A,DNAJC16
HIF1A,MYCBP
HIF1A,THAP3
HIF1A,YWHAE
HIF1A,EMC1
HIF1A,MEOX1
HIF1A,MGST3
HIF1A,SULT1A1
HIF1A,MRPL28
HIF1A,MAPKAPK2
HIF1A,EVA1B
HIF1A,SHCBP1
HIF1A,ARHGAP29
HIF1A,SCAMP2
HIF1A,USP8
HIF1A,PEX10
HIF1A,TM2D3
HIF1A,GLG1
HIF1A,HEATR3
HIF1A,GCLM
HIF1A,SRSF10
HIF1A,ZWILCH
HIF1A,GGPS1
HIF1A,LONP2
HIF1A,F3
HIF1A,CTBS
HIF1A,CSK
HIF1A,MIS12
HIF1A,JMJD7
HIF1A,CDK10
HIF1A,MUTYH
HIF1A,RIT1
HIF1A,LBR
HIF1A,JTB
HIF1A,STX8
HIF1A,ECE1
HIF1A,MTHFS
HIF1A,EBNA1BP2
HIF1A,AP3S2
HIF1A,ALPL
HIF1A,OLFML2B
HIF1A,HDAC1
HIF1A,UQCRH
HIF1A,PAK6
HIF1A,NDC1
HIF1A,LCK
HIF1A,ASB7
HIF1A,CCDC85C
HIF1A,SLC19A2
HIF1A,CLUH
HIF1A,SLC35D1
HIF1A,MRPS34
HIF1A,SORT1
HIF1A,SRM
HIF1A,MXRA8
HIF1A,UNC119
HIF1A,LAMC2
HIF1A,SPEN
HIF1A,CHAC1
HIF1A,TM2D1
HIF1A,SLC35A3
HIF1A,ATAD3A
HIF1A,TMEM50A
HIF1A,SEC11A
HIF1A,NEO1
HIF1A,RCOR3
HIF1A,DHCR24
HIF1A,PPT1
HIF1A,MIIP
HIF1A,BAHD1
HIF1A,SETD3
HIF1A,OSBPL9
HIF1A,DAP3
HIF1A,SMYD2
HIF1A,EIF3I
HIF1A,POU3F1
HIF1A,ADORA2B
HIF1A,AIM2
HIF1A,PRDX6
HIF1A,KCNQ4
HIF1A,SCNN1B
HIF1A,USP7
HIF1A,COL9A2
HIF1A,VASH2
HIF1A,IGFBP4
HIF1A,CDK5R1
HIF1A,SELL
HIF1A,RNF187
HIF1A,ELF3
HIF1A,RND2
HIF1A,DENND2D
HIF1A,ORC6
HIF1A,SLC27A2
HIF1A,BATF3
HIF1A,SNORA21
HIF1A,IL21R
HIF1A,CHI3L2
HIF1A,PHGDH
HIF1A,LAPTM5
HIF1A,HNF1B
HIF1A,TRAF3IP3
HIF1A,S100A14
HIF1A,RUNX3
HIF1A,ZNF710
HIF1A,METRN
HIF1A,TMEM121
HIF1A,SPRR1B
HIF1A,GP1BA
HIF1A,ADCY7
HIF1A,SCAND2P
HIF1A,PLEKHH3
HIF1A,TNFAIP2
HIF1A,DVL1
HIF1A,APOA2
HIF1A,PLEKHM2
HIF1A,CETP
HIF1A,EVL
HIF1A,MT1H
HIF1A,KRT10
HIF1A,ERBB2
HIF1A,NGRN
HIF1A,PADI4
HIF1A,ITGA2B
HIF1A,CHRNB1
HIF1A,S100A3
